1971,2029,1
313,2712,2
1730,945,1
53,2477,2
2963,1025,1
2395,2755,2
1020,2115,1
1496,964,1
183,1361,1
314,259,2
1111,294,2
1934,1895,1
76,282,2
414,2836,2
1188,167,2
1975,1665,1
1915,2161,1
1643,1478,2
1148,2003,2
566,468,1
1801,2919,2
1787,640,1
2668,2542,2
2547,1853,1
1897,2646,2
2864,2527,2
1191,1457,2
237,1578,2
434,908,2
2147,961,2
2001,1455,1
2473,87,2
192,2385,2
2936,2227,2
2225,2952,1
1949,2849,2
1830,1919,2
1764,946,1
249,1882,1
2673,2011,2
86,1394,2
765,623,2
2669,1394,1
1008,1678,2
1584,2603,1
1768,2748,1
1000,2971,2
2845,2681,1
952,337,2
1204,2641,1
1084,1216,1
701,2320,1
2137,1626,2
2067,518,1
592,2076,1
2541,1714,2
1424,424,1
1979,1985,2
224,2716,1
325,1067,1
2131,585,2
2024,805,2
2635,1886,1
1158,44,1
1469,319,2
723,1259,1
284,1557,1
950,34,2
1439,585,2
1828,2738,2
12,2433,1
2253,1505,1
915,2622,2
806,1311,1
2006,2362,2
565,2366,1
2841,181,2
703,708,1
1633,2243,1
87,213,1
126,1409,1
1392,1257,2
1002,893,1
112,1887,1
62,543,1
1848,2153,1
470,1891,1
221,2793,2
2058,659,1
2649,2260,1
1618,291,1
1774,1507,2
415,2535,1
1589,2590,2
1332,843,1
916,2948,1
1426,860,1
1841,2464,1
2367,230,1
1357,214,1
1780,831,1
713,1,1
336,1563,2
1292,2004,2
1325,751,1
912,1478,1
2751,778,2
2737,1633,2
2716,147,1
65,2880,1
317,1454,2
1167,1096,2
2956,187,2
2910,529,2
60,488,2
1555,206,1
1812,2740,1
2663,803,2
1465,2039,2
2350,1884,1
1473,2430,1
1010,170,2
2334,737,1
2364,1671,2
674,15,2
1261,2353,2
851,1630,2
758,2959,1
2148,1651,1
2609,2824,1
2103,1595,2
1027,254,1
998,1296,1
1843,201,1
501,2291,2
707,2106,2
2165,628,1
2275,2526,1
968,2544,1
639,2471,2
2148,380,2
1544,2988,2
1574,2250,2
1314,899,2
2134,895,2
1533,448,2
2724,987,1
1177,2197,1
219,456,1
432,177,1
2562,1436,2
2343,1315,1
2275,2199,2
501,2093,2
1469,1535,1
2028,177,1
2513,1029,1
653,1659,2
121,1273,2
1622,1501,2
2854,2489,2
384,2478,2
508,1458,2
2374,2915,1
122,2407,2
2255,1052,1
414,2069,1
636,1676,1
1117,1998,2
2587,794,1
1238,2034,1
1905,1986,2
2321,2860,1
1105,2691,1
1328,2886,1
2087,1940,1
1712,1452,1
2498,2429,2
1943,514,1
2883,228,2
1475,2832,1
2505,356,2
686,2169,2
1061,2270,1
1541,1622,1
2993,2980,1
2534,2571,2
1724,2594,1
1542,2030,2
1976,2896,1
81,744,2
1098,438,2
107,1642,2
496,1633,2
1616,1431,2
2141,1839,1
299,2255,2
1449,511,2
360,837,2
13,1230,2
303,1127,2
131,1598,2
463,486,1
1244,2485,1
2016,857,1
749,371,1
23,1430,1
2624,894,1
2343,2646,1
1200,898,1
242,2829,1
660,2286,1
87,2153,1
2240,2034,2
113,940,1
1403,1484,2
2718,1835,2
2643,1746,2
1732,149,1
786,2343,2
2957,1221,2
1078,2541,1
1793,1540,2
1572,83,2
425,1601,1
